,date,count_w_1day
253,2020-12-10,602
254,2020-12-11,595
255,2020-12-12,621
256,2020-12-13,480
257,2020-12-14,305
258,2020-12-15,460
259,2020-12-16,678
260,2020-12-17,822
261,2020-12-18,664
262,2020-12-19,736
263,2020-12-20,556
264,2020-12-21,373
265,2020-12-22,563
266,2020-12-23,748
267,2020-12-24,888
268,2020-12-25,884
269,2020-12-26,949
270,2020-12-27,708
271,2020-12-28,481
272,2020-12-29,856
273,2020-12-30,944
274,2020-12-31,1337
275,2021-01-01,783
276,2021-01-02,814
277,2021-01-03,816
278,2021-01-04,884
279,2021-01-05,1278
280,2021-01-06,1591
281,2021-01-07,2447
282,2021-01-08,2392
283,2021-01-09,2268
284,2021-01-10,1494
285,2021-01-11,1219
286,2021-01-12,970
287,2021-01-13,1433
288,2021-01-14,1502
289,2021-01-15,2001
290,2021-01-16,1809
291,2021-01-17,1592
292,2021-01-18,1204
293,2021-01-19,1240
294,2021-01-20,1274
295,2021-01-21,1471
296,2021-01-22,1175
297,2021-01-23,1070
298,2021-01-24,986
299,2021-01-25,618
300,2021-01-26,1026
301,2021-01-27,973
302,2021-01-28,1064
303,2021-01-29,868
304,2021-01-30,769
305,2021-01-31,633
306,2021-02-01,393
307,2021-02-02,556
308,2021-02-03,676
309,2021-02-04,734
310,2021-02-05,577
311,2021-02-06,639
312,2021-02-07,429
313,2021-02-08,276
314,2021-02-09,412
315,2021-02-10,491
316,2021-02-11,434
317,2021-02-12,307
318,2021-02-13,369
319,2021-02-14,1209
320,2021-02-15,266
321,2021-02-16,350
322,2021-02-17,378
323,2021-02-18,445
324,2021-02-19,353
325,2021-02-20,327
326,2021-02-21,272
327,2021-02-22,178
328,2021-02-23,275
329,2021-02-24,213
330,2021-02-25,340
331,2021-02-26,270
332,2021-02-27,337
333,2021-02-28,329
334,2021-03-01,121
335,2021-03-02,232
336,2021-03-03,316
337,2021-03-04,279
338,2021-03-05,301
339,2021-03-06,293
340,2021-03-07,237
341,2021-03-08,116
342,2021-03-09,290
343,2021-03-10,340
344,2021-03-11,335
345,2021-03-12,304
346,2021-03-13,330
347,2021-03-14,239
348,2021-03-15,175
349,2021-03-16,300
350,2021-03-17,409
351,2021-03-18,323
352,2021-03-19,303
353,2021-03-20,342
354,2021-03-21,256
355,2021-03-22,187
356,2021-03-23,337
357,2021-03-24,420
358,2021-03-25,394
359,2021-03-26,376
360,2021-03-27,430
361,2021-03-28,313
362,2021-03-29,234
363,2021-03-30,364
364,2021-03-31,414
365,2021-04-01,475
366,2021-04-02,440
367,2021-04-03,446
368,2021-04-04,355
369,2021-04-05,249
370,2021-04-06,399
371,2021-04-07,555
372,2021-04-08,545
373,2021-04-09,537
374,2021-04-10,570
375,2021-04-11,421
376,2021-04-12,306
377,2021-04-13,510
378,2021-04-14,591
379,2021-04-15,729
380,2021-04-16,667
381,2021-04-17,759
382,2021-04-18,543
383,2021-04-19,405
384,2021-04-20,711
385,2021-04-21,843
386,2021-04-22,861
387,2021-04-23,759
388,2021-04-24,876
389,2021-04-25,635
390,2021-04-26,425
391,2021-04-27,828
392,2021-04-28,925
393,2021-04-29,1027
394,2021-04-30,698
395,2021-05-01,1050
396,2021-05-02,879
397,2021-05-03,708
398,2021-05-04,609
399,2021-05-05,621
400,2021-05-06,591
401,2021-05-07,907
402,2021-05-08,1121
403,2021-05-09,1032
404,2021-05-10,573
405,2021-05-11,925
406,2021-05-12,969
407,2021-05-13,1010
408,2021-05-14,854
409,2021-05-15,772
410,2021-05-16,542
411,2021-05-17,419
412,2021-05-18,732
413,2021-05-19,766
414,2021-05-20,843
415,2021-05-21,649
416,2021-05-22,602
417,2021-05-23,535
418,2021-05-24,340
419,2021-05-25,542
420,2021-05-26,743
421,2021-05-27,684
422,2021-05-28,614
423,2021-05-29,539
424,2021-05-30,448
425,2021-05-31,260
426,2021-06-01,471
427,2021-06-02,487
428,2021-06-03,508
429,2021-06-04,472
430,2021-06-05,436
431,2021-06-06,351
432,2021-06-07,235
433,2021-06-08,369
434,2021-06-09,440
435,2021-06-10,439
436,2021-06-11,435
437,2021-06-12,467
438,2021-06-13,304
439,2021-06-14,209
440,2021-06-15,337
441,2021-06-16,501
442,2021-06-17,452
443,2021-06-18,453
444,2021-06-19,388
445,2021-06-20,376
446,2021-06-21,236
447,2021-06-22,435
448,2021-06-23,619
449,2021-06-24,570
450,2021-06-25,562
451,2021-06-26,534
452,2021-06-27,386
453,2021-06-28,317
454,2021-06-29,476
455,2021-06-30,714
456,2021-07-01,673
457,2021-07-02,660
458,2021-07-03,716
459,2021-07-04,518
460,2021-07-05,342
461,2021-07-06,593
462,2021-07-07,920
463,2021-07-08,896
464,2021-07-09,822
465,2021-07-10,950
466,2021-07-11,614
467,2021-07-12,502
468,2021-07-13,830
469,2021-07-14,1149
470,2021-07-15,1308
471,2021-07-16,1271
472,2021-07-17,1410
473,2021-07-18,1008
474,2021-07-19,727
